"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "JSON", "JSON with Comments", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\Users\hp\Documents\pro\in-patients\README.md", "Markdown", 0, 0, 0, 0, 0, 818, 0, 0, 0, 314, 1132
"c:\Users\hp\Documents\pro\in-patients\dist\assets\index-Bgl6c5wL.js", "JavaScript", 177, 0, 0, 0, 0, 0, 0, 0, 307, 6, 490
"c:\Users\hp\Documents\pro\in-patients\dist\assets\index-CJrrQkLi.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\hp\Documents\pro\in-patients\dist\hospital-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\hp\Documents\pro\in-patients\dist\index.html", "HTML", 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"c:\Users\hp\Documents\pro\in-patients\index.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\hp\Documents\pro\in-patients\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\hp\Documents\pro\in-patients\package-lock.json", "JSON", 0, 0, 0, 4198, 0, 0, 0, 0, 0, 1, 4199
"c:\Users\hp\Documents\pro\in-patients\package.json", "JSON", 0, 0, 0, 41, 0, 0, 0, 0, 0, 1, 42
"c:\Users\hp\Documents\pro\in-patients\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\hp\Documents\pro\in-patients\public\hospital-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\hp\Documents\pro\in-patients\server\package-lock.json", "JSON", 0, 0, 0, 1229, 0, 0, 0, 0, 0, 1, 1230
"c:\Users\hp\Documents\pro\in-patients\server\package.json", "JSON", 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\hp\Documents\pro\in-patients\server\src\config\db.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\hp\Documents\pro\in-patients\server\src\index.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"c:\Users\hp\Documents\pro\in-patients\server\src\middleware\auth.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\hp\Documents\pro\in-patients\server\src\models\Bed.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\hp\Documents\pro\in-patients\server\src\models\Deposit.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\hp\Documents\pro\in-patients\server\src\models\HospitalSettings.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\hp\Documents\pro\in-patients\server\src\models\Patient.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\hp\Documents\pro\in-patients\server\src\models\RoomAssignment.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\hp\Documents\pro\in-patients\server\src\models\ServiceCategory.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\hp\Documents\pro\in-patients\server\src\models\ServiceRecord.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
"c:\Users\hp\Documents\pro\in-patients\server\src\models\User.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\hp\Documents\pro\in-patients\server\src\routes\auth.routes.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 10, 67
"c:\Users\hp\Documents\pro\in-patients\server\src\routes\beds.routes.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\hp\Documents\pro\in-patients\server\src\routes\manager.routes.js", "JavaScript", 226, 0, 0, 0, 0, 0, 0, 0, 0, 24, 250
"c:\Users\hp\Documents\pro\in-patients\server\src\routes\patients.routes.js", "JavaScript", 368, 0, 0, 0, 0, 0, 0, 0, 0, 52, 420
"c:\Users\hp\Documents\pro\in-patients\server\src\routes\records.routes.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 12, 86
"c:\Users\hp\Documents\pro\in-patients\server\src\routes\settings.routes.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 7, 60
"c:\Users\hp\Documents\pro\in-patients\server\src\scripts\seed.js", "JavaScript", 306, 0, 0, 0, 0, 0, 0, 0, 0, 15, 321
"c:\Users\hp\Documents\pro\in-patients\server\src\services\autoCharges.js", "JavaScript", 139, 0, 0, 0, 0, 0, 0, 0, 0, 16, 155
"c:\Users\hp\Documents\pro\in-patients\server\src\utils\mappers.js", "JavaScript", 142, 0, 0, 0, 0, 0, 0, 0, 0, 9, 151
"c:\Users\hp\Documents\pro\in-patients\server\src\utils\validation.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 16, 89
"c:\Users\hp\Documents\pro\in-patients\src\App.jsx", "JavaScript JSX", 0, 85, 0, 0, 0, 0, 0, 0, 0, 11, 96
"c:\Users\hp\Documents\pro\in-patients\src\api\client.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 12, 77
"c:\Users\hp\Documents\pro\in-patients\src\components\auth\RequireAuth.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\hp\Documents\pro\in-patients\src\components\layout\AppLayout.jsx", "JavaScript JSX", 0, 41, 0, 0, 0, 0, 0, 0, 0, 6, 47
"c:\Users\hp\Documents\pro\in-patients\src\components\layout\Sidebar.jsx", "JavaScript JSX", 0, 113, 0, 0, 0, 0, 0, 0, 0, 6, 119
"c:\Users\hp\Documents\pro\in-patients\src\components\layout\TopNav.jsx", "JavaScript JSX", 0, 140, 0, 0, 0, 0, 0, 0, 0, 12, 152
"c:\Users\hp\Documents\pro\in-patients\src\components\shared\CommonComponents.jsx", "JavaScript JSX", 0, 136, 0, 0, 0, 0, 0, 0, 0, 8, 144
"c:\Users\hp\Documents\pro\in-patients\src\components\shared\DepositReceipt.jsx", "JavaScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 0, 7, 50
"c:\Users\hp\Documents\pro\in-patients\src\components\shared\HospitalLogo.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\hp\Documents\pro\in-patients\src\components\shared\RecordTimeline.jsx", "JavaScript JSX", 0, 168, 0, 0, 0, 0, 0, 0, 0, 13, 181
"c:\Users\hp\Documents\pro\in-patients\src\components\shared\RoomTransferPanel.jsx", "JavaScript JSX", 0, 299, 0, 0, 0, 0, 0, 0, 0, 19, 318
"c:\Users\hp\Documents\pro\in-patients\src\components\shared\ServiceRecordBuilder.jsx", "JavaScript JSX", 0, 469, 0, 0, 0, 0, 0, 0, 0, 26, 495
"c:\Users\hp\Documents\pro\in-patients\src\components\shared\ServiceTimeline.jsx", "JavaScript JSX", 0, 123, 0, 0, 0, 0, 0, 0, 0, 13, 136
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\alert-dialog.jsx", "JavaScript JSX", 0, 69, 0, 0, 0, 0, 0, 0, 0, 11, 80
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\avatar.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\badge.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\button.jsx", "JavaScript JSX", 0, 35, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\card.jsx", "JavaScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 0, 8, 35
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\dialog.jsx", "JavaScript JSX", 0, 67, 0, 0, 0, 0, 0, 0, 0, 9, 76
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\input.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\label.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\select.jsx", "JavaScript JSX", 0, 94, 0, 0, 0, 0, 0, 0, 0, 10, 104
